id,name,project_type,description,status,start_date,end_date,function_points,interface_count,technology_stack,demand_stability_rating,team_size,team_experience_level,priority,risk_level
19,因此记者项目,系统集成,等级北京的话只是这是觉得.次数孩子相关不过只是.两个以上自己免费只要.,planning,2023-03-24,2023-04-30,215,28,"[""Node.js"", ""AWS""]",2.1,13,junior,high,high
20,用户这些项目,软件开发,广告工程虽然详细规定.什么研究用户.,in_progress,2024-05-13,2024-08-07,183,0,"[""Node.js"", ""Java"", ""PostgreSQL""]",1.0,12,senior,high,medium
21,用户网站项目,系统集成,全部事情这里这个的话其他.提高起来必须一次一定东西今年.国际操作地址生活需要规定.需要能力一次我们.,completed,2024-02-19,2024-07-31,280,7,"[""Flask"", ""MySQL"", ""Azure""]",4.4,20,mixed,high,low
22,建设事情项目,系统集成,企业文化最大感觉建设业务.详细如何决定首页软件目前.具有世界的人只是有些.,completed,2023-10-14,2024-04-13,296,15,"[""SQLite"", ""Java"", ""Docker""]",2.0,10,junior,high,high
23,作为是一项目,软件开发,市场开始怎么.价格工具加入问题.活动活动位置行业时候.建设完成出来网站新闻图片.,planning,2023-05-23,2023-07-15,267,0,"[""PHP"", ""Java"", ""Ruby"", ""Angular"", ""JavaScript"", ""Python""]",4.1,18,senior,high,medium
24,记者目前项目,硬件采购,怎么各种城市注意组织国际日期.进行开发一些地方生活大学.等级注册需要学习类型不过时候这些.一些方面当前过程电影网络.,planning,2023-11-07,2024-10-11,0,0,[],2.7,9,senior,low,medium
25,一直电子项目,咨询服务,今天资料直接发现详细一样.支持标题一起只要.表示非常能力影响原因等级.,cancelled,2024-02-06,2024-10-20,0,0,[],2.5,8,senior,high,high
26,也是开始项目,系统集成,个人经济时间网站生产.,cancelled,2023-11-13,2024-04-05,428,11,"[""Django"", ""JavaScript"", ""PHP"", ""MySQL"", ""Redis"", ""Spring""]",2.3,15,junior,low,medium
27,产品游戏项目,咨询服务,中文的话解决使用.女人音乐得到作为业务.,in_progress,2023-05-08,2024-05-04,0,0,[],3.6,3,senior,medium,high
28,系列控制项目,软件开发,两个处理一切中文.市场使用音乐评论注册.参加不同标准当然.东西什么开发一起如何经营.,in_progress,2022-11-04,2023-09-22,115,0,"[""Azure"", ""Python"", ""Java"", ""JavaScript"", ""Node.js""]",1.5,15,senior,high,high
29,公司说明项目,咨询服务,直接我的安全世界这里.这里事情主题北京.,completed,2023-08-28,2024-02-27,0,0,[],4.7,10,senior,medium,high
30,一下企业项目,软件开发,美国因此部分社会通过技术.很多都是积分谢谢开发.男人如此地址出来.,planning,2023-07-10,2024-02-01,37,0,"[""Google Cloud"", ""Python"", ""Vue.js"", ""React"", ""Redis""]",2.6,8,mixed,low,medium
31,不会完全项目,软件开发,本站发生图片要求.作品部门过程而且最后生活.,planning,2023-05-20,2023-11-17,266,0,"[""Node.js"", ""Docker""]",4.7,2,junior,high,low
32,空间没有项目,硬件采购,一个得到帖子帮助.今天位置当前信息单位有关.如果具有你的一点.认为不要完全最大最新目前生产.,completed,2023-11-21,2024-01-14,0,0,[],4.3,11,junior,medium,low
33,电影这种项目,咨询服务,不会空间使用自己.今天支持不同方面精华.非常评论要求电子人民评论.,completed,2022-12-30,2023-03-22,0,0,[],2.4,7,junior,low,low
34,网络类别项目,软件开发,积分生产企业销售拥有.,cancelled,2023-04-23,2023-07-13,378,0,"[""SQLite"", ""Google Cloud"", ""MySQL"", ""AWS""]",2.3,11,mixed,high,high
35,时候相关项目,市场推广,工作虽然这么公司设备.这种广告通过广告朋友能力实现事情.,cancelled,2023-04-05,2023-12-19,0,0,[],3.5,7,senior,high,high
36,方式之后项目,咨询服务,网站以下应用规定一下地方.学习大小法律大小软件安全我们生活.还有有关经验成功地区管理希望过程.,planning,2022-11-21,2023-10-18,0,0,[],4.4,14,junior,high,medium
37,只是比较项目,咨询服务,项目来源还有一切控制回复.,planning,2022-12-16,2023-04-01,0,0,[],2.0,6,senior,low,high
38,以下历史项目,市场推广,表示但是大小根据使用必须因为.也是不同有限.商品通过能够不能.更新次数直接基本都是中国加入这么.,cancelled,2023-06-15,2024-05-03,0,0,[],1.9,5,mixed,medium,low
39,管理汽车项目,软件开发,音乐简介电脑大学.,cancelled,2024-04-01,2024-05-26,127,0,"[""PHP"", ""Python"", ""Java"", ""React"", ""Ruby"", ""AWS""]",2.3,7,junior,low,low
40,结果基本项目,硬件采购,之后中心一次运行而且详细一样.完全来源帖子.特别之后这是日期一次计划加入.,in_progress,2023-05-05,2023-07-30,0,0,[],4.8,14,mixed,low,high
41,在线阅读项目,市场推广,研究具有之间.我的阅读一些过程有关.,in_progress,2022-09-24,2023-06-29,0,0,[],1.5,14,senior,low,low
42,投资直接项目,咨询服务,记者而且因此正在来源其中.要求那么设备汽车之后加入.,cancelled,2023-06-29,2023-09-24,0,0,[],4.1,20,mixed,low,medium
43,最后就是项目,软件开发,文章成功希望投资上海系统制作.大小标题今天发生.能够她的环境以后要求朋友.,cancelled,2024-05-06,2025-04-19,402,0,"[""MongoDB"", ""PHP"", ""Go"", ""Kubernetes"", ""Google Cloud"", ""Node.js""]",2.1,3,mixed,high,high
44,电子网站项目,咨询服务,主题项目支持美国网络什么什么.中心部分城市由于处理搜索网上.合作国内简介帖子评论结果.,cancelled,2023-03-21,2023-11-17,0,0,[],2.5,14,mixed,medium,medium
45,任何能力项目,系统集成,有限汽车到了功能中文发生为什应用.而且其他报告一切.,completed,2022-08-02,2023-02-21,489,49,"[""Node.js"", ""Flask"", ""MySQL"", ""Kubernetes"", ""AWS"", ""Azure""]",1.4,15,senior,high,high
46,应该两个项目,系统集成,可是类型原因来自.市场能够之间新闻.都是时间发展经营我们.最后显示应用欢迎经营朋友她的.,cancelled,2024-03-14,2024-08-17,484,24,"[""Redis"", ""React"", ""Node.js"", ""Spring""]",3.2,12,mixed,low,low
47,那些还有项目,咨询服务,其他不要发现电影如此.更多要求有关会员责任.,completed,2023-11-28,2024-04-19,0,0,[],1.9,6,senior,medium,high
48,上海这种项目,软件开发,增加业务手机科技用户.,completed,2023-05-27,2024-04-16,61,0,"[""Python"", ""React""]",1.8,2,junior,medium,medium
49,的人什么项目,硬件采购,不断设备美国出现.记者关系我们最新.文章必须目前一定报告增加类别客户.,completed,2024-02-01,2025-01-14,0,0,[],4.4,8,senior,medium,low
50,女人他们项目,软件开发,资料你的说明到了谢谢当前任何.,planning,2024-04-30,2024-08-28,222,0,"[""Django"", ""AWS"", ""JavaScript"", ""Vue.js""]",3.0,7,mixed,high,high
51,活动电脑项目,咨询服务,拥有管理深圳问题.事情很多下载这么.,in_progress,2023-10-20,2023-12-10,0,0,[],2.1,2,senior,high,low
52,感觉到了项目,硬件采购,不过经济完全浏览评论空间.有关简介国家研究人民觉得不会.,planning,2024-07-05,2024-09-26,0,0,[],2.7,18,senior,medium,low
53,正在这样项目,硬件采购,应该其实那个包括公司市场得到.同时中文一次当前一个.全部经验成功帖子.的是搜索北京项目.,in_progress,2024-04-29,2025-02-09,0,0,[],1.0,5,junior,low,medium
54,工具男人项目,软件开发,为什大家觉得上海主题价格一点.所以部门主要情况决定技术.,in_progress,2023-05-12,2023-11-24,84,0,"[""AWS"", ""Google Cloud"", ""Azure"", ""Spring"", ""Java"", ""Node.js""]",1.8,2,junior,medium,high
55,企业信息项目,咨询服务,行业喜欢学习无法.教育根据或者网站电话.,planning,2023-11-09,2024-06-11,0,0,[],2.8,16,mixed,medium,low
56,对于详细项目,市场推广,直接无法谢谢记者数据能力完全.发布市场点击没有学校.国内发布大小希望帖子当然拥有这种.以及项目历史那个.,cancelled,2023-11-11,2024-03-24,0,0,[],2.0,5,senior,medium,low
57,能够正在项目,系统集成,这样查看人员喜欢不断影响.认为设计网络.最后类别中心详细目前.,in_progress,2022-11-14,2022-12-24,450,47,"[""MongoDB"", ""AWS"", ""Node.js"", ""React""]",1.5,11,senior,medium,high
58,社区他们项目,系统集成,网上网站设备数据.两个东西您的自己.,cancelled,2024-04-20,2024-09-11,263,9,"[""Ruby"", ""React"", ""Kubernetes"", ""Java""]",3.4,10,junior,medium,medium
59,人员标准项目,咨询服务,一直其中汽车发表大小.空间很多如此使用很多.,in_progress,2023-10-03,2024-01-07,0,0,[],4.0,11,junior,low,medium
60,安全必须项目,硬件采购,目前经验汽车.不同制作拥有责任一样上海.发布推荐这里得到用户国际出来.起来电子拥有质量回复有限之间.,in_progress,2024-03-25,2024-09-29,0,0,[],1.8,18,junior,medium,high
61,然后一样项目,咨询服务,汽车电脑研究客户.密码增加一个积分.只要很多文化方面加入.,planning,2024-06-11,2025-01-26,0,0,[],3.9,12,mixed,low,high
62,增加经验项目,硬件采购,感觉关系日本当然可能更多处理.如果记者不是查看基本公司商品.一个程序女人用户可以选择通过.,in_progress,2022-07-26,2022-10-05,0,0,[],1.6,6,junior,low,high
63,广告来源项目,市场推广,有些得到新闻规定喜欢标准责任.,completed,2024-01-10,2024-11-07,0,0,[],2.9,2,mixed,low,low
64,提供没有项目,市场推广,环境首页全国北京大家起来进行.的是可能有关不会.可是设计一定.,in_progress,2024-03-16,2024-10-31,0,0,[],1.3,14,senior,high,low
65,市场得到项目,咨询服务,网络支持设备城市.是一为什阅读客户.,completed,2022-10-22,2022-12-12,0,0,[],3.9,7,mixed,medium,medium
66,广告情况项目,硬件采购,两个价格经济当然客户.不过什么学习国际环境功能.,completed,2023-10-08,2024-09-21,0,0,[],2.8,11,mixed,low,high
67,标题以后项目,硬件采购,网站地区显示就是精华一点.人民全部国家客户标准.他的发生标题不能两个.,completed,2024-05-28,2025-03-05,0,0,[],2.1,20,junior,medium,high
68,一直具有项目,硬件采购,联系地区注意以后科技.,cancelled,2023-01-08,2023-06-30,0,0,[],2.6,7,senior,high,high
69,方法下载项目,市场推广,标题语言这种软件.一次希望一直喜欢全部我们其实.成功你们而且出现.,in_progress,2023-02-25,2023-06-08,0,0,[],2.3,6,mixed,medium,high
70,有限一些项目,咨询服务,国际那些提供.增加继续活动经营学习法律很多.孩子世界必须主要.积分地址的是深圳网站知道业务.,completed,2023-03-19,2024-03-17,0,0,[],2.2,11,senior,medium,low
71,电脑这样项目,软件开发,一起以下一下加入一般.结果网络品牌.,completed,2023-04-19,2023-12-31,323,0,"[""Django"", ""Go"", ""Kubernetes""]",4.6,19,junior,high,high
72,是否这样项目,硬件采购,规定客户没有.完成服务继续.,planning,2023-01-27,2023-09-26,0,0,[],3.3,18,mixed,medium,high
73,必须注册项目,咨询服务,注意当然有限他们中文.威望根据一点基本内容时候功能.使用下载中国详细事情.,in_progress,2024-05-01,2024-08-20,0,0,[],1.5,20,junior,low,low
74,登录根据项目,市场推广,类别关于北京对于专业加入.文件有关而且公司工具.,in_progress,2022-08-20,2023-07-07,0,0,[],3.1,13,senior,high,medium
75,如此孩子项目,硬件采购,处理主题注意本站.,cancelled,2024-05-31,2024-12-29,0,0,[],4.2,14,junior,high,medium
76,以上这里项目,软件开发,研究位置首页看到留言计划他们.详细相关无法地区有限以上.状态地区有限环境国家文件不要主题.,completed,2022-10-06,2023-01-07,392,0,"[""Go"", ""Docker"", ""Spring"", ""PostgreSQL"", ""PHP""]",4.9,2,mixed,low,high
77,地方名称项目,市场推广,还是人员资源单位能够中心研究.已经正在管理以及投资.,in_progress,2023-06-01,2024-05-16,0,0,[],3.1,13,senior,medium,high
78,只是质量项目,市场推广,非常因为的话运行.任何中国部分不要.,planning,2022-10-05,2023-05-08,0,0,[],1.9,10,senior,medium,medium
79,资源目前项目,市场推广,企业报告威望程序.然后只有世界是否.,planning,2023-11-22,2024-10-22,0,0,[],3.9,5,junior,low,high
80,有关不要项目,硬件采购,用户继续关系以上知道也是中心.深圳业务位置阅读感觉合作历史.标题包括特别开发.,planning,2023-05-22,2024-04-21,0,0,[],4.9,10,junior,medium,high
81,有些分析项目,软件开发,进行作为一个这个美国.公司文化社会由于关系管理当然城市.,planning,2023-06-11,2023-07-22,486,0,"[""Azure"", ""MySQL""]",1.1,19,junior,low,high
82,发现来自项目,市场推广,还是必须更新教育不会今天系统.非常作品业务根据.经济行业如此任何.,planning,2024-01-31,2024-10-12,0,0,[],4.5,4,mixed,low,high
83,自己公司项目,硬件采购,主题文化日本谢谢网络工程.留言中国状态经验.,completed,2023-06-16,2023-08-21,0,0,[],2.4,3,mixed,high,medium
84,感觉时间项目,软件开发,今年能够电脑文件新闻简介项目.社区或者经济大学业务.次数谢谢商品虽然密码控制.,in_progress,2024-02-21,2025-02-18,308,0,"[""C#"", ""MySQL"", ""Flask"", ""Vue.js""]",1.4,13,mixed,high,low
85,为了建设项目,咨询服务,如何社区空间最大日本.市场以下精华关于.文件科技经营来自控制来自个人.,planning,2023-06-14,2023-09-01,0,0,[],3.8,9,mixed,high,low
86,文章现在项目,硬件采购,留言你的两个各种这样留言.查看留言精华投资出来.但是无法欢迎中国原因活动不要论坛.,planning,2023-02-26,2023-05-02,0,0,[],1.2,19,junior,low,medium
87,那个组织项目,硬件采购,本站国内如何进行组织更新不同.谢谢您的工作希望.,in_progress,2022-10-26,2023-10-12,0,0,[],2.1,12,mixed,medium,high
88,大小的是项目,硬件采购,女人当前控制教育不会她的文章.文件浏览地方社区质量工作功能.现在或者需要你的.,in_progress,2023-02-27,2023-12-05,0,0,[],3.4,13,mixed,high,low
89,社会能够项目,市场推广,各种非常推荐城市工作.,cancelled,2022-08-01,2022-12-27,0,0,[],2.3,16,senior,low,low
90,设备所以项目,硬件采购,全国这里音乐还有北京.有关来自运行来自深圳实现最大广告.,planning,2023-10-23,2024-02-16,0,0,[],1.1,20,junior,low,high
91,您的开发项目,系统集成,下载出现得到作为新闻类别.方式准备图片资源包括.,in_progress,2022-07-26,2022-11-21,141,11,"[""Kubernetes"", ""MongoDB""]",2.0,10,mixed,low,low
92,欢迎必须项目,咨询服务,文章一些这个成为.关系系列投资中国拥有.对于不要专业的是.,completed,2022-12-01,2023-11-30,0,0,[],3.8,2,senior,low,low
93,资料正在项目,系统集成,组织都是一样一种起来日期应用.通过具有名称目前的人为什.的人需要可是生活.,cancelled,2024-03-03,2024-05-31,314,27,"[""Docker"", ""React"", ""Azure"", ""Redis""]",3.4,19,junior,medium,medium
94,大小一点项目,市场推广,全部免费不过管理.情况搜索发表的话选择城市.,completed,2022-10-09,2023-07-14,0,0,[],4.7,3,mixed,low,low
95,本站生活项目,咨询服务,推荐只有国际客户成功网络留言.继续可以首页现在控制参加加入希望.电子他们但是本站帖子.,cancelled,2023-05-28,2023-11-10,0,0,[],4.1,14,junior,medium,high
96,说明生活项目,市场推广,投资但是点击更新历史留言.可能大小进入技术而且要求.,cancelled,2023-10-17,2024-01-16,0,0,[],4.2,7,senior,medium,low
97,认为原因项目,咨询服务,因此密码留言需要.管理主要实现出现.建设注意生活自己关系.国家历史问题网络操作图片记者.,planning,2023-12-27,2024-06-24,0,0,[],3.2,12,junior,high,medium
98,留言中心项目,软件开发,商品主要因此由于大家美国简介那些.我们回复管理你们.,cancelled,2022-11-13,2023-02-07,467,0,"[""Django"", ""JavaScript"", ""Flask"", ""PostgreSQL""]",3.0,15,mixed,high,low
99,注意孩子项目,市场推广,一个发现现在信息以下组织出来.不过可以比较语言这种.,completed,2022-12-07,2023-01-19,0,0,[],3.6,18,junior,low,low
100,是一语言项目,市场推广,全国安全学校发展支持解决.威望生活中心.上海得到资料留言位置.,completed,2023-08-30,2023-10-10,0,0,[],3.5,13,junior,low,low
101,这样提供项目,系统集成,一直设备具有男人.查看工作如何经济作品生活控制认为.,completed,2024-05-16,2025-05-07,332,30,"[""Spring"", ""Angular""]",2.5,19,senior,low,low
102,一般有限项目,咨询服务,密码电子网络国际那些推荐.觉得你们全国日期.你们这么根据安全进行参加所以.全国简介关系一个.,in_progress,2023-05-25,2023-11-30,0,0,[],1.2,2,mixed,high,medium
103,联系国家项目,硬件采购,重要可以提高可能.一定今天技术加入重要政府规定.,in_progress,2023-08-22,2023-09-25,0,0,[],2.8,11,junior,medium,high
104,中国如果项目,硬件采购,那些欢迎大学最大他们下载.,planning,2024-03-11,2025-02-21,0,0,[],3.6,5,senior,low,low
105,成功根据项目,软件开发,政府工具主要单位.合作那么法律选择.经营图片市场资源之间基本.,planning,2023-01-28,2023-07-31,372,0,"[""Kubernetes"", ""MySQL"", ""React"", ""Flask"", ""Node.js"", ""Ruby""]",4.2,16,senior,low,low
106,个人然后项目,软件开发,工具的人表示一起参加.业务由于主题不过基本公司.,planning,2023-10-27,2024-01-03,437,0,"[""Azure"", ""Redis"", ""PostgreSQL"", ""Vue.js""]",3.0,15,mixed,low,low
107,文件所以项目,系统集成,的人设备图片计划.电子地区自己发表.起来这样点击你的加入对于.,planning,2022-10-19,2023-04-24,380,31,"[""Node.js"", ""Kubernetes""]",2.0,13,senior,high,low
108,投资帮助项目,咨询服务,之间这是设备.只有表示电子.,cancelled,2024-01-10,2024-05-16,0,0,[],3.9,15,mixed,high,low
109,部门我的项目,软件开发,环境信息主要历史资源.公司网站如此必须选择选择系列.,planning,2023-05-02,2024-04-25,75,0,"[""Go"", ""Django"", ""PostgreSQL""]",4.9,6,mixed,high,high
110,不同方面项目,系统集成,网上更新有些主题希望下载国内其他.报告汽车通过美国.,in_progress,2023-07-09,2024-06-25,382,21,"[""SQLite"", ""PostgreSQL"", ""Go"", ""Vue.js""]",4.0,2,senior,low,high
111,会员以后项目,咨询服务,以上位置如果社会来源如果看到.地址标题解决其他制作希望电脑.,cancelled,2023-10-08,2023-12-26,0,0,[],2.8,15,senior,high,medium
112,作为运行项目,市场推广,有些作品网络当然作者很多.比较名称系统.数据详细他的通过深圳.,planning,2022-12-11,2023-04-09,0,0,[],2.4,2,mixed,low,medium
113,怎么技术项目,软件开发,主题位置帮助能力可能会员建设.业务全国什么评论文章以下.,in_progress,2022-07-26,2023-01-09,345,0,"[""React"", ""SQLite""]",2.3,18,senior,high,high
114,出现项目项目,市场推广,系统技术因为客户出来.没有通过记者有限过程社会.控制包括地址客户.,planning,2024-06-16,2024-12-11,0,0,[],4.8,14,senior,high,low
115,他的美国项目,硬件采购,人员大学你的法律.影响人员方面.,planning,2023-05-03,2023-11-23,0,0,[],1.0,10,mixed,medium,low
116,建设同时项目,咨询服务,出来不同组织留言国内以后更新.研究可是什么部门工程作者.北京更新然后具有完全一直.,planning,2024-01-17,2024-10-20,0,0,[],4.4,7,junior,low,high
117,研究音乐项目,市场推广,帮助结果他们系统.提高虽然之后一些方法.,in_progress,2023-10-06,2024-02-24,0,0,[],4.4,19,senior,high,medium
118,起来出现项目,咨询服务,应该没有知道可是深圳.解决应该项目任何.,planning,2023-10-05,2024-07-09,0,0,[],3.6,4,junior,medium,low
119,不能比较项目,咨询服务,显示因为起来单位分析.是否其他国际.我的成为现在.你的通过当然您的的话出现作为.,cancelled,2023-11-10,2024-01-04,0,0,[],4.9,14,junior,medium,medium
120,点击今年项目,系统集成,一下一种内容已经选择以上.那么安全市场销售次数.自己网站之后企业标题这种系统.,planning,2022-07-16,2023-03-01,495,34,"[""AWS"", ""Docker"", ""Ruby""]",4.9,13,junior,low,high
121,方法包括项目,系统集成,的是上海来源如果一次.其中环境威望帮助以后相关电话密码.免费网络电脑浏览进行喜欢.,completed,2024-04-11,2025-04-07,134,39,"[""React"", ""PostgreSQL"", ""Java"", ""AWS"", ""Angular""]",3.4,4,senior,low,low
122,不要两个项目,硬件采购,这种商品同时密码企业这样.系统所有能够发布得到.功能当前时候以上最大.,planning,2022-08-13,2022-12-27,0,0,[],2.2,3,junior,low,medium
123,到了网络项目,市场推广,解决本站重要直接这么经验.国家只要汽车地方.大家成为不断经济.,in_progress,2024-01-04,2024-10-26,0,0,[],2.3,16,senior,high,medium
124,搜索对于项目,系统集成,软件名称上海希望登录程序.认为决定作者包括社会联系准备汽车.,cancelled,2023-05-16,2023-12-29,463,16,"[""Redis"", ""AWS"", ""Docker""]",2.6,20,junior,high,low
125,人员帮助项目,软件开发,程序标准经验使用由于.一些这些等级商品喜欢根据孩子.认为工程说明一样.类型等级不会.,cancelled,2022-09-26,2023-05-03,166,0,"[""Azure"", ""AWS""]",1.5,12,junior,medium,high
126,时间都是项目,系统集成,系统阅读详细朋友基本选择数据.新闻教育他们那些学校原因汽车有限.中国无法业务关系通过.得到部分看到点击具有各种开发特别.,completed,2024-05-22,2024-09-03,205,23,"[""Node.js"", ""Flask"", ""PHP"", ""Django"", ""SQLite""]",2.6,6,mixed,low,medium
127,计划你们项目,市场推广,可是因为更多经营.这是空间一样积分现在.希望是一进行相关能力直接.,cancelled,2023-04-09,2023-05-09,0,0,[],1.5,5,junior,low,high
128,电影根据项目,市场推广,实现一下情况这个是一帮助.程序最后地址部门.,planning,2022-12-28,2023-05-19,0,0,[],1.6,3,mixed,medium,medium
129,项目位置项目,软件开发,喜欢根据已经销售.要求今年市场推荐市场登录.经济大学类别进入影响.,in_progress,2023-04-01,2023-08-12,324,0,"[""Flask"", ""Go"", ""MySQL""]",4.9,16,senior,high,high
130,怎么方法项目,软件开发,那么东西游戏因为是否帮助一切.相关那个您的公司留言时候空间公司.,completed,2022-07-31,2023-06-18,244,0,"[""Docker"", ""Ruby"", ""MySQL"", ""Kubernetes"", ""C#"", ""Go""]",2.8,3,junior,low,low
131,成为作者项目,软件开发,简介有些相关如此下载社区认为中心.所以我们已经网上因此游戏.,cancelled,2023-10-26,2024-01-05,199,0,"[""PHP"", ""Ruby"", ""MySQL"", ""Spring"", ""JavaScript"", ""SQLite""]",1.5,14,senior,high,high
132,这个系统项目,市场推广,任何只是国内专业所有人民影响.最后解决本站日期进行但是都是.发展上海大学技术注册.,in_progress,2023-07-27,2023-09-07,0,0,[],2.2,16,junior,low,high
133,知道电影项目,硬件采购,其中他的今天有些人员.发布免费大小社会非常规定.发表今年只有合作就是.,in_progress,2022-08-17,2023-07-07,0,0,[],4.6,15,junior,high,high
134,部分已经项目,系统集成,介绍电影规定不能新闻不是这些.部分一样基本精华东西.提高中国只要帮助论坛因此游戏.,in_progress,2023-01-30,2023-04-21,332,46,"[""Angular"", ""Flask"", ""Kubernetes"", ""SQLite"", ""AWS""]",4.1,4,junior,medium,low
135,运行这是项目,市场推广,实现关于其他个人.报告所以如此文化地方空间.,completed,2023-11-16,2024-06-28,0,0,[],2.4,13,mixed,low,medium
136,任何电脑项目,硬件采购,注意次数非常类型文件两个信息.解决提高拥有什么主题研究.,completed,2023-08-12,2024-05-02,0,0,[],1.5,7,senior,medium,medium
137,社区之间项目,市场推广,但是自己包括也是过程.本站发布所以威望操作环境.语言为什有些可能目前数据什么出现.,cancelled,2024-02-06,2024-09-06,0,0,[],3.2,2,senior,medium,high
138,其他类别项目,咨询服务,操作标题国际我的一定开始.以下更多可能.准备网络人民程序不要.,planning,2023-07-30,2023-12-03,0,0,[],3.2,20,senior,low,high
139,这里一直项目,咨询服务,学校在线发布一样是否有些拥有.威望新闻中文阅读不断虽然.,completed,2022-07-27,2023-05-07,0,0,[],1.7,3,mixed,medium,low
140,工作都是项目,系统集成,部分也是网络论坛完成你们查看.,completed,2022-12-30,2023-12-15,378,3,"[""JavaScript"", ""SQLite"", ""PostgreSQL"", ""Vue.js"", ""AWS"", ""Docker""]",4.9,14,senior,low,medium
141,资料公司项目,硬件采购,由于如何类型自己时间数据人民.还有现在国际文章环境.,cancelled,2024-02-03,2024-04-01,0,0,[],3.3,15,junior,high,high
142,提供但是项目,咨询服务,经验精华认为状态.任何要求我们精华电影.,planning,2023-07-01,2023-12-24,0,0,[],4.5,19,senior,low,high
143,日本你的项目,咨询服务,我的不断有关认为.孩子中文浏览搜索下载.学校日本设计介绍.,planning,2023-03-03,2023-07-27,0,0,[],3.0,6,senior,high,medium
144,欢迎详细项目,市场推广,解决经验图片必须经营.处理生产单位完成标准.,cancelled,2023-02-14,2023-04-14,0,0,[],4.4,6,mixed,high,low
145,成为状态项目,市场推广,科技是一这么浏览日本不要当前.东西为什电子广告品牌.,completed,2023-07-07,2023-12-18,0,0,[],3.3,6,senior,medium,medium
146,以上美国项目,软件开发,经济他的政府继续政府.威望公司个人以上精华地址发展.的是等级价格标题城市.其实地址虽然网上.,cancelled,2023-07-29,2023-10-12,215,0,"[""MongoDB"", ""Java"", ""Kubernetes"", ""Spring"", ""Ruby"", ""MySQL""]",2.1,16,mixed,high,low
147,历史我们项目,软件开发,希望男人加入这些中心品牌信息.回复这是公司详细开发都是登录.,in_progress,2024-06-23,2024-09-19,47,0,"[""Django"", ""Spring"", ""MySQL"", ""Node.js"", ""Java"", ""PostgreSQL""]",2.9,5,senior,medium,low
